,r.value.fit.vectors.r,fit.vectors.pvals
Candidatus Azambacteria bacterium RIFCSPLOWO2_01_FULL_44_84,0.01719758,0.74
Candidatus Babeliaceae bacterium,0.263476828,0.003
Candidatus Babeliales bacterium,0.281336873,0.002
Candidatus Baltobacteraceae bacterium,0.194555522,0.015
Candidatus Baltobacterales bacterium,0.224315099,0.003
Candidatus Bathyanammoxibius sp.,0.017919804,0.68
Candidatus Benthicola marisminoris,0.109158028,0.08
Candidatus Berkelbacteria bacterium,0.086365789,0.144
Candidatus Berkelbacteria bacterium CG10_big_fil_rev_8_21_14_0_10_43_14,0.013228419,0.844
Candidatus Binataceae bacterium,0.280502046,0.001
Candidatus Binatia bacterium,0.750934912,0.001
Candidatus Binatota bacterium,0.03668063,0.436
Candidatus Binatus sp.,0.215014018,0.008
Candidatus Bipolaricaulis sp.,0.05617814,0.267
Candidatus Bipolaricaulota bacterium,0.458526107,0.001
Candidatus Blackburnbacteria bacterium RIFCSPLOWO2_01_FULL_40_20,0.146322862,0.048
Candidatus Blastococcus massiliensis,0.167933091,0.026
Candidatus Brachybacter algidus,0.300381478,0.001
Candidatus Brachybacterium merdigallinarum,0.035391868,0.467
Candidatus Brachythrix odensensis,0.275766656,0.003
Candidatus Brennerbacteria bacterium RIFOXYB1_FULL_41_13,0.462947866,0.001
Candidatus Brocadia carolinensis,0.121113199,0.065
Candidatus Brocadia fulgida,0.568398876,0.001
Candidatus Brocadia pituitae,0.24823654,0.003
Candidatus Brocadia sapporoensis,0.465851357,0.001
Candidatus Brocadia sinica,0.22802394,0.006
Candidatus Brocadia sp.,0.560698879,0.001
Candidatus Brocadia sp. BL1,0,1
Candidatus Brocadia sp. UTAMX2,0.42236103,0.001
Candidatus Brocadia sp. WS118,0.021559504,0.627
Candidatus Brocadiaceae bacterium,0.04117541,0.395
Candidatus Brocadiales bacterium,0.113831162,0.076
Candidatus Brocadiia bacterium,0.0883696,0.124
Candidatus Burkholderia humilis,0.19890722,0.023
Candidatus Burkholderia verschuerenii,0,1
Candidatus Butyricicoccus avicola,0.139423008,0.046
Candidatus Caenarcanales bacterium,0.079375274,0.186
Candidatus Caldatribacterium sp.,0.096946641,0.115
Candidatus Caldilinea saccharophila,0.184643645,0.015
Candidatus Campbellbacteria bacterium RIFOXYC2_FULL_35_25,0.037971491,0.369
Candidatus Carbobacillus altaicus,0.083498763,0.147
Candidatus Cerribacteria bacterium 'Amazon FNV 2010 28 9',0.019586452,0.689
Candidatus Chisholmbacteria bacterium,0.040902553,0.39
Candidatus Chloroheliaceae bacterium,0.101292033,0.101
Candidatus Chloroheliales bacterium,0.172488209,0.022
Candidatus Chlorohelix allophototropha,0.299601423,0.001
Candidatus Chloroploca asiatica,0.01719758,0.74
Candidatus Chloroploca mongolica,0.093839895,0.132
Candidatus Chloroploca sp. Khr17,0.025892416,0.571
Candidatus Chromulinivoraceae bacterium,0.160663638,0.031
Candidatus Cloacimonadota bacterium,0.029195635,0.532
Candidatus Cloacimonas sp. 4484_209,0.031620233,0.498
Candidatus Coatesbacteria bacterium,0.062983309,0.255
Candidatus Collierbacteria bacterium GW2011_GWB1_44_6,0.058037917,0.276
Candidatus Colwellbacteria bacterium,0.05238507,0.329
Candidatus Competibacter denitrificans,0.078007664,0.136
Candidatus Competibacter phosphatis,0.335141035,0.001
Candidatus Competibacter sp.,0.432109161,0.001
Candidatus Competibacteraceae bacterium,0.49155282,0.001
Candidatus Competibacterales bacterium,0.451584599,0.001
Candidatus Contendobacter odensis,0.211556175,0.003
Candidatus Contendobacter sp.,0.005496354,0.9
Candidatus Corynebacterium gallistercoris,0.010327353,0.819
Candidatus Cryosericum sp.,0.39687548,0.001
Candidatus Curtissbacteria bacterium GW2011_GWA1_40_16,0.126014258,0.064
Candidatus Curtissbacteria bacterium GW2011_GWA1_40_24,0,1
Candidatus Cybelea sp.,0.217424966,0.007
Candidatus Dactylopiibacterium carminicum,0.506666526,0.001
Candidatus Dactylopiibacterium sp.,0.073877981,0.153
Candidatus Dadabacteria bacterium,0.008528894,0.823
Candidatus Dadabacteria bacterium CSP1-2,0.0517806,0.289
Candidatus Daviesbacteria bacterium,0.071846727,0.184
Candidatus Daviesbacteria bacterium GW2011_GWA1_38_7,0.198057227,0.01
Candidatus Daviesbacteria bacterium GW2011_GWA2_38_24,0.19906501,0.009
Candidatus Daviesbacteria bacterium GW2011_GWB1_36_5,0.273784375,0.001
Candidatus Dechloromonas phosphoritropha,0.108387415,0.085
Candidatus Dechloromonas phosphorivorans,0.332623071,0.001
Candidatus Deferrimicrobiaceae bacterium,0.046633722,0.357
Candidatus Deferrimicrobium borealis,0.037627077,0.474
Candidatus Deferrimicrobium sp.,0.124718377,0.056
Candidatus Defluviicoccus seviourii,0.150849491,0.036
Candidatus Defluviilinea gracilis,0.268162339,0.005
Candidatus Defluviilinea proxima,0.047981481,0.32
Candidatus Delongbacteria bacterium,0.12919437,0.061
Candidatus Dependentiae bacterium,0.089480241,0.145
Candidatus Desantisbacteria bacterium,0.111148831,0.099
Candidatus Desantisbacteria bacterium CG07_land_8_20_14_0_80_39_15,0.14397194,0.052
Candidatus Desantisbacteria bacterium CG1_02_38_46,0,1
Candidatus Desulfofervidaceae bacterium,0.153188959,0.04
Candidatus Desulfofervidus auxilii,0.208663949,0.007
Candidatus Desulfofervidus sp.,0.072948836,0.196
Candidatus Didemnitutus sp.,0.394607876,0.001
Candidatus Dietzia merdigallinarum,0.059034642,0.273
Candidatus Dojkabacteria bacterium,0.049149174,0.324
Candidatus Dormiibacter inghamiae,0.154565912,0.032
Candidatus Dormiibacter spiritus,0.10553112,0.097
Candidatus Dormiibacterota bacterium,0.592070482,0.001
Candidatus Doudnabacteria bacterium,0.063587421,0.236
Candidatus Doudnabacteria bacterium RIFCSPHIGHO2_02_FULL_43_13b,0,1
Candidatus Doudnabacteria bacterium RIFCSPLOWO2_02_FULL_48_13,0.053640433,0.271
Candidatus Doudnabacteria bacterium RIFCSPLOWO2_12_FULL_47_12,0.104859999,0.093
Candidatus Edwardsbacteria bacterium,0.006586547,0.857
Candidatus Edwardsbacteria bacterium RifOxyC12_full_54_24,0.005075269,0.898
Candidatus Eisenbacteria bacterium,0.561690128,0.001
Candidatus Eisenbacteria bacterium RBG_16_71_46,0.189181786,0.01
Candidatus Eisenbacteria bacterium RBG_19FT_COMBO_70_11,0.121880026,0.06
Candidatus Elarobacter sp.,0.408476701,0.001
Candidatus Electrothrix aarhusensis,0.013228419,0.844
Candidatus Electrothrix gigas,0.422754137,0.001
Candidatus Electrothrix sp. ATG1,0.003721119,0.942
Candidatus Electrothrix sp. AUS1_2,0.096124824,0.136
Candidatus Electrothrix sp. AX1,0.424219723,0.001
Candidatus Endoriftia persephone,0.06953272,0.207
Candidatus Entotheonella factor,0.524912444,0.001
Candidatus Entotheonella gemina,0.338013809,0.001
Candidatus Entotheonella palauensis,0.289861134,0.001
Candidatus Entotheonella serta,0.174938128,0.015
Candidatus Epilinea brevis,0,1
Candidatus Eremiobacter sp. RRmetagenome_bin22,0.19890722,0.023
Candidatus Eremiobacteraceae bacterium,0.212787419,0.007
Candidatus Eremiobacterota bacterium,0.300272232,0.001
Candidatus Erginobacter occultus,0.247900194,0.004
Candidatus Faeciplasma avium,0.01980986,0.652
Candidatus Falkowbacteria bacterium,0.062822497,0.214
Candidatus Falkowbacteria bacterium CG23_combo_of_CG06-09_8_20_14_all_49_15,0.138602504,0.047
Candidatus Falkowbacteria bacterium HGW-Falkowbacteria-2,0.049989369,0.364
Candidatus Falkowbacteria bacterium RIFOXYA2_FULL_47_19,0.05870657,0.264
Candidatus Fermentibacter daniensis,0.202632244,0.012
Candidatus Fermentibacter sp.,0.185300875,0.02
Candidatus Fermentibacteria bacterium,0.064228579,0.241
Candidatus Fermentithermobacillaceae bacterium,0.19901378,0.014
Candidatus Filomicrobium marinum,0.345010828,0.001
Candidatus Firestonebacteria bacterium,0.164083546,0.034
Candidatus Fischerbacteria bacterium RBG_13_37_8,0.026618105,0.552
Candidatus Flexicrinis proximus,0.035039618,0.434
Candidatus Flexifilum affinis,0.278571333,0.001
Candidatus Flexifilum breve,0.18504942,0.016
Candidatus Fluviicola riflensis,0.143399873,0.038
Candidatus Fonsibacter lacus,0.217940959,0.008
Candidatus Frankia alpina,0.016863946,0.696
Candidatus Frankia nodulisporulans,0.036697035,0.439
Candidatus Fraserbacteria bacterium RBG_16_55_9,0.17108023,0.023
Candidatus Fredericiella danica,0.019663897,0.647
Candidatus Gaiellasilicea maunaloa,0.575378726,0.001
Candidatus Galacturonibacter soehngenii,0.024206477,0.627
Candidatus Gallionella acididurans,0.192003903,0.014
Candidatus Gastranaerophilales bacterium,0.164030582,0.026
Candidatus Giovannonibacteria bacterium GW2011_GWA2_53_7,0,1
Candidatus Giovannonibacteria bacterium RIFCSPHIGHO2_02_FULL_44_11,0.034978217,0.463
Candidatus Giovannonibacteria bacterium RIFCSPHIGHO2_02_FULL_45_13,0.269758832,0.002
Candidatus Glassbacteria bacterium,0.008714075,0.826
Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11,0.340465005,0.002
Candidatus Glomeribacter gigasporarum,0.208545546,0.005
Candidatus Gottesmanbacteria bacterium GW2011_GWB1_49_7,0.000410583,0.986
Candidatus Gottesmanbacteria bacterium GW2011_GWC2_39_8,0.14345164,0.048
Candidatus Gottesmanbacteria bacterium RBG_16_52_11,0.072827492,0.17
Candidatus Gracilibacteria bacterium,0.183520759,0.011
Candidatus Hadersleviella danica,0.260202557,0.001
Candidatus Hakubella thermalkaliphila,0.18166853,0.024
Candidatus Halobeggiatoa sp. HSG11,0.229355389,0.008
Candidatus Handelsmanbacteria bacterium,0.058360227,0.276
Candidatus Handelsmanbacteria bacterium RIFCSPLOWO2_12_FULL_64_10,0.047580587,0.338
Candidatus Harrisonbacteria bacterium CG10_big_fil_rev_8_21_14_0_10_45_28,0.023614377,0.652
Candidatus Hydrogenedens sp.,0.237290963,0.004
Candidatus Hydrogenedentes bacterium ADurb.Bin179,0.01719758,0.74
Candidatus Hydrogenedentes bacterium CG1_02_42_14,0.065687637,0.227
Candidatus Hydrogenedentota bacterium,0.324075036,0.001
Candidatus Hydromicrobium sp.,0.301719855,0.001
Candidatus Hydrothermota bacterium,0.163685334,0.038
Candidatus Ignatzschineria merdigallinarum,0.086013474,0.137
Candidatus Igneacidithiobacillus waiarikiensis,0.060197194,0.259
Candidatus Jacksonbacteria bacterium,0,1
Candidatus Jacksonbacteria bacterium RIFOXYA2_FULL_44_7,0.054958262,0.3
Candidatus Janibacter merdipullorum,0.073877981,0.153
Candidatus Jettenia ecosi,0.329158858,0.001
Candidatus Jettenia sp.,0.372349642,0.001
Candidatus Jettenia sp. AMX1,0.293170961,0.001
Candidatus Jettenia sp. AMX2,0.199275274,0.009
Candidatus Jettenia sp. CY-1,0.538496133,0.001
Candidatus Jorgensenbacteria bacterium GW2011_GWA1_48_11,0.110037397,0.083
Candidatus Kaiserbacteria bacterium,0.233699649,0.007
Candidatus Kaiserbacteria bacterium CG10_big_fil_rev_8_21_14_0_10_43_70,0.004592691,0.941
Candidatus Kaiserbacteria bacterium CG10_big_fil_rev_8_21_14_0_10_51_14,0.179112614,0.018
Candidatus Kaiserbacteria bacterium CG10_big_fil_rev_8_21_14_0_10_59_10,0.360189136,0.002
Candidatus Kaiserbacteria bacterium GW2011_GWA2_52_12,0.047867064,0.367
Candidatus Kaiserbacteria bacterium GW2011_GWA2_58_9,0.002863042,0.979
Candidatus Kaiserbacteria bacterium GW2011_GWB1_52_6,0,1
Candidatus Kaiserbacteria bacterium RIFCSPHIGHO2_01_FULL_50_13,0,1
Candidatus Kaiserbacteria bacterium RIFCSPHIGHO2_01_FULL_51_33,0.034726025,0.492
Candidatus Kaiserbacteria bacterium RIFCSPHIGHO2_01_FULL_53_29,0.018345291,0.676
Candidatus Kaiserbacteria bacterium RIFCSPHIGHO2_01_FULL_54_36,0.140254489,0.051
Candidatus Kaiserbacteria bacterium RIFCSPHIGHO2_01_FULL_54_36b,0,1
Candidatus Kaiserbacteria bacterium RIFCSPHIGHO2_01_FULL_55_17,0,1
Candidatus Kaiserbacteria bacterium RIFCSPHIGHO2_01_FULL_55_37,0,1
Candidatus Kaiserbacteria bacterium RIFCSPHIGHO2_01_FULL_55_79,0.033990263,0.492
Candidatus Kaiserbacteria bacterium RIFCSPHIGHO2_01_FULL_56_24,0.208088813,0.007
Candidatus Kaiserbacteria bacterium RIFCSPHIGHO2_01_FULL_58_22,0,1
Candidatus Kaiserbacteria bacterium RIFCSPHIGHO2_02_FULL_49_16,0,1
Candidatus Kaiserbacteria bacterium RIFCSPHIGHO2_02_FULL_54_11b,0.01859838,0.678
Candidatus Kaiserbacteria bacterium RIFCSPHIGHO2_02_FULL_55_20,0,1
Candidatus Kaiserbacteria bacterium RIFCSPHIGHO2_02_FULL_55_25,0,1
Candidatus Kaiserbacteria bacterium RIFCSPHIGHO2_12_FULL_53_13,0,1
Candidatus Kaiserbacteria bacterium RIFCSPHIGHO2_12_FULL_55_13,0,1
Candidatus Kaiserbacteria bacterium RIFCSPLOWO2_01_FULL_53_17,0.095707362,0.105
Candidatus Kaiserbacteria bacterium RIFCSPLOWO2_01_FULL_54_13,0,1
Candidatus Kaiserbacteria bacterium RIFCSPLOWO2_01_FULL_54_20,0,1
Candidatus Kaiserbacteria bacterium RIFCSPLOWO2_01_FULL_54_24,0,1
Candidatus Kaiserbacteria bacterium RIFCSPLOWO2_01_FULL_55_25,0,1
Candidatus Kaiserbacteria bacterium RIFOXYB1_FULL_46_14,0.013072792,0.779
Candidatus Kaistia colombiensis,0.136286432,0.05
Candidatus Kapaibacterium sp.,0.175701138,0.017
Candidatus Kentron sp. DK,0.38949479,0.001
Candidatus Kentron sp. FM,0.312410133,0.003
Candidatus Kentron sp. G,0.083091288,0.157
Candidatus Kentron sp. LFY,0.103402479,0.101
Candidatus Kentron sp. MB,0.082445533,0.159
Candidatus Kentron sp. SD,0.100330489,0.108
Candidatus Kerfeldbacteria bacterium,0.160381447,0.021
Candidatus Kerfeldbacteria bacterium CG08_land_8_20_14_0_20_42_7,0.410747379,0.001
Candidatus Komeilibacteria bacterium,0.173633511,0.026
Candidatus Komeilibacteria bacterium CG_4_10_14_0_2_um_filter_37_10,0.084363637,0.15
Candidatus Komeilibacteria bacterium CG10_big_fil_rev_8_21_14_0_10_41_13,0.10281262,0.119
Candidatus Komeilibacteria bacterium RIFCSPLOWO2_02_FULL_48_11,0.242747981,0.004
Candidatus Korobacter versatilis,0.085892959,0.151
Candidatus Kouleothrix ribensis,0.024440891,0.585
Candidatus Krumholzibacteriaceae bacterium,0.011219403,0.774
Candidatus Krumholzibacteriia bacterium,0.583244496,0.001
Candidatus Krumholzibacteriota bacterium,0.348789396,0.002
Candidatus Krumholzibacterium sp.,0.031539923,0.517
Candidatus Kryptobacter bacterium,0.080036303,0.164
Candidatus Kryptoniota bacterium,0.044520298,0.36
Candidatus Kuenenia hertensis,0.046803697,0.359
Candidatus Kuenenia sp.,0.112925687,0.081
Candidatus Kuenenia stuttgartiensis,0.547744444,0.001
Candidatus Kutchimonas denitrificans,0.034534607,0.476
Candidatus Lambdaproteobacteria bacterium,0.107969111,0.087
Candidatus Laterigemmans baculatus,0.074413776,0.195
Candidatus Latescibacterota bacterium,0.365359572,0.001
Candidatus Leptofilum gracile,0.018568043,0.71
Candidatus Leptofilum proximum,0.03933798,0.408
Candidatus Leptovillus affinis,0.540882342,0.001
Candidatus Leptovillus gracilis,0.019208194,0.656
Candidatus Leucobacter sulfamidivorax,0.013179226,0.774
Candidatus Levybacteria bacterium RIFCSPHIGHO2_01_FULL_40_15b,0,1
Candidatus Levybacteria bacterium RIFCSPHIGHO2_01_FULL_41_15,0.129406284,0.062
Candidatus Levybacteria bacterium RIFCSPLOWO2_01_FULL_36_10,0.140209831,0.045
Candidatus Levyibacteriota bacterium,0.294724272,0.001
Candidatus Limenecus avicola,0.155691539,0.025
Candidatus Limicola stercorigallinarum,0.138847437,0.036
Candidatus Liminaster caballi,0.004277556,0.947
Candidatus Limnocylindrales bacterium,0.58155566,0.001
Candidatus Limnocylindria bacterium,0.270136376,0.001
Candidatus Lindowbacteria bacterium,0.483901237,0.001
Candidatus Lindowbacteria bacterium RIFCSPLOWO2_02_FULL_62_12,0.057480821,0.26
Candidatus Lindowbacteria bacterium RIFCSPLOWO2_12_FULL_62_27,0.169599114,0.04
Candidatus Liptonbacteria bacterium,0.095228506,0.127
Candidatus Lithacetigena glycinireducens,0.076167011,0.186
Candidatus Lloydbacteria bacterium RIFCSPHIGHO2_02_FULL_50_13,0.371867416,0.001
Candidatus Loosdrechtia aerotolerans,0.091811441,0.139
Candidatus Lumbricidophila eiseniae,0.113713704,0.071
Candidatus Lustribacter sp.,0.217158279,0.007
Candidatus Luteimonas excrementigallinarum,0.097770103,0.106
Candidatus Lutibacillus vidarii,0.262555319,0.001
Candidatus Macondimonas sp.,0.177898015,0.018
Candidatus Magasanikbacteria bacterium,0.181586938,0.03
Candidatus Magnetaquicoccus inordinatus,0.308814955,0.001
Candidatus Magnetobacterium bavaricum,0.140040878,0.04
Candidatus Magnetominusculus xianensis,0.142673908,0.044
Candidatus Magnetomorum sp. HK-1,0.269328438,0.002
Candidatus Magnetoovum chiemensis,0.033262797,0.497
Candidatus Magnetoovum sp. WYHC-5,0.07418908,0.187
Candidatus Mailhella merdavium,0.19890722,0.023
Candidatus Manganitrophaceae bacterium,0.33819618,0.002
Candidatus Manganitrophus morganii,0.2447212,0.005
Candidatus Manganitrophus noduliformans,0.282531923,0.001
Candidatus Manganitrophus sp.,0.030111174,0.52
Candidatus Margulisiibacteriota bacterium,0.278390098,0.002
Candidatus Marimicrobium litorale,0.369626449,0.001
Candidatus Melainabacteria bacterium,0.275696497,0.002
Candidatus Melainabacteria bacterium GWF2_37_15,0.1539668,0.024
Candidatus Melainabacteria bacterium HGW-Melainabacteria-1,0.087377195,0.146
Candidatus Melainabacteria bacterium RIFCSPHIGHO2_02_FULL_34_12,0.015210089,0.75
Candidatus Melainabacteria bacterium RIFCSPLOWO2_12_FULL_35_11,0,1
Candidatus Mesolinea sp.,0.051722086,0.314
Candidatus Methylacidiphilales bacterium,0.206971732,0.009
Candidatus Methylacidiphilum infernorum,0.038992902,0.433
Candidatus Methylacidithermus pantelleriae,0.398172076,0.001
Candidatus Methylobacter favarea,0.167403966,0.017
Candidatus Methylobacter oryzae,0.045293893,0.389
Candidatus Methylobacter titanis,0.062987076,0.23
Candidatus Methylomirabilis lanthanidiphila,0.321186262,0.001
Candidatus Methylomirabilis limnetica,0.491161162,0.001
Candidatus Methylomirabilis oxygeniifera,0.077049315,0.18
Candidatus Methylomirabilis sp.,0.008854446,0.842
Candidatus Methylomirabilis tolerans,0.701230638,0.001
Candidatus Methylophosphatis roskildensis,0.113200493,0.08
Candidatus Methylopumilus sp.,0.082950218,0.136
Candidatus Methylumidiphilus alinenensis,0.079153516,0.169
Candidatus Microgenomates bacterium,0.195450582,0.008
Candidatus Microsaccharimonas sp.,0.143876498,0.051
Candidatus Microthrix parvicella,0.035485418,0.463
Candidatus Microthrix sp.,0.070993931,0.222
Candidatus Moduliflexus flocculans,0.067575331,0.233
Candidatus Moranbacteria bacterium CG17_big_fil_post_rev_8_21_14_2_50_41_107,0.204601519,0.009
Candidatus Moranbacteria bacterium RIFCSPHIGHO2_02_FULL_40_12b,0.285044545,0.001
Candidatus Moraniibacteriota bacterium,0.473867438,0.001
Candidatus Muiribacterium halophilum,0.461608813,0.001
Candidatus Muproteobacteria bacterium RBG_16_60_9,0.037484124,0.433
Candidatus Muproteobacteria bacterium RBG_16_64_10,0.002863042,0.979
Candidatus Muproteobacteria bacterium RBG_16_65_31,0.043064455,0.37
Candidatus Muproteobacteria bacterium RIFCSPHIGHO2_01_FULL_65_16,0.300614325,0.003
Candidatus Muproteobacteria bacterium RIFCSPHIGHO2_02_FULL_65_16,0.513508404,0.001
Candidatus Mycobacterium methanotrophicum,0.022936979,0.608
Candidatus Mycobacterium wuenschmannii,0.207526905,0.012
Candidatus Mycolicibacterium alkanivorans,0.018149973,0.67
Candidatus Nanopelagicaceae bacterium,0.238523491,0.006
Candidatus Nanopelagicales bacterium,0.176639384,0.022
Candidatus Nanopelagicus sp.,0.081252956,0.145
Candidatus Nanoperiomorbaceae bacterium,0.052743935,0.303
Candidatus Nealsonbacteria bacterium,0.23852408,0.003
Candidatus Nealsonbacteria bacterium CG23_combo_of_CG06-09_8_20_14_all_39_25,0.023614377,0.652
Candidatus Nealsonbacteria bacterium RIFCSPLOWO2_01_FULL_41_9,0.552756404,0.001
Candidatus Neomarinimicrobiota bacterium,0.590971328,0.001
Candidatus Nephrothrix sp. EaCA,0.054958262,0.3
Candidatus Nephthysia bennettiae,0.447529543,0.001
Candidatus Nitricoxidireducens bremensis,0.10281262,0.119
Candidatus Nitrobium versatile,0.066276357,0.244
Candidatus Nitromaritima sp. SCGC AAA799-A02,0.060175318,0.29
Candidatus Nitronauta litoralis,0.194379551,0.011
Candidatus Nitronereus thalassa,0.083573114,0.122
Candidatus Nitrospira allomarina,0.201798191,0.009
Candidatus Nitrospira inopinata,0.076451935,0.208
Candidatus Nitrospira kreftii,0.28087965,0.001
Candidatus Nitrospira neomarina,0.442663633,0.001
Candidatus Nitrospira nitrificans,0.299127055,0.003
Candidatus Nitrospira nitrosa,0.20317697,0.008
Candidatus Nitrotoga arctica,0.017017297,0.703
Candidatus Nitrotoga fabula,0.073877981,0.153
Candidatus Nitrotoga sp.,0.179954436,0.025
Candidatus Nitrotoga sp. 1052,0.073037047,0.209
Candidatus Nitrotoga sp. AM1P,0.092562271,0.129
Candidatus Nitrotoga sp. CP45,0.53572175,0.001
Candidatus Nitrotoga sp. HW29,0.252587275,0.003
Candidatus Nitrotoga sp. LAW,0.470268057,0.001
Candidatus Nitrotoga sp. M5,0.029344855,0.534
Candidatus Nitrotoga sp. SPKER,0.136433823,0.033
Candidatus Niyogibacteria bacterium,0.29034657,0.002
Candidatus Niyogibacteria bacterium CG10_big_fil_rev_8_21_14_0_10_46_36,0.176130857,0.021
Candidatus Nocardiopsis merdipullorum,0.1124187,0.078
Candidatus Nomurabacteria bacterium,0.12064945,0.072
Candidatus Nomurabacteria bacterium GW2011_GWA2_40_97,0.188285716,0.015
Candidatus Nomurabacteria bacterium RIFCSPLOWO2_12_FULL_46_14,0.01719758,0.74
